empresa;descrição;cidade;protocolo;created_at;status_os;data_encerramento_prot;Nome do Técnico;OLT;Regional;Motivo;Motivo da Pendência;Turno;aging_dias
Horizon Telecom;Suporte Wi-Fi;Sumaré;20262955075;14/02/2026 09:00:03;Pendente;14/02/2026 18:00:03;João Silva;OLT-HUAWEI-4;Sumaré;Suporte Wi-Fi;Cliente Ausente;Tarde;4
FiberTech;Reparo de Fibra;Sumaré;20265690738;16/02/2026 19:39:03;Pendente;17/02/2026 00:39:03;Maria Oliveira;OLT-NOKIA-6;Sumaré;Reparo de Fibra;Cliente Ausente;Tarde;2
Conecta+;Reparo de Fibra;Campinas;20266915650;18/02/2026 13:18:03;Pendente;18/02/2026 21:50:03;Kevyn Ferrezin;OLT-NOKIA-9;Campinas;Reparo de Fibra;Equipamento Defeituoso;Tarde;0
Conecta+;Reparo de Fibra;Campinas;20265373852;18/02/2026 03:57:03;Pendente;18/02/2026 21:50:03;Kevyn Ferrezin;OLT-ZTE-8;Campinas;Reparo de Fibra;Dificuldade Técnica (Poste/Tubulação);Manhã;0
Conecta+;Instalação Nova;Valinhos;20265617930;17/02/2026 15:56:03;Pendente;18/02/2026 12:56:03;Maria Oliveira;OLT-NOKIA-7;Valinhos;Instalação Nova;Falta de Tempo/Janela;Manhã;1
Conecta+;Mudança de Endereço;Hortolândia;20263345897;18/02/2026 19:25:03;Pendente;18/02/2026 21:50:03;Carlos Santos;OLT-ZTE-9;Hortolândia;Mudança de Endereço;Falta de Tempo/Janela;Tarde;0
Horizon Telecom;Troca de Tecnologia;Campinas;20266738444;16/02/2026 07:21:03;Pendente;16/02/2026 16:21:03;Maria Oliveira;OLT-ZTE-9;Campinas;Troca de Tecnologia;Equipamento Defeituoso;Tarde;2
Conecta+;Suporte Wi-Fi;Hortolândia;20266702565;18/02/2026 17:43:03;Pendente;18/02/2026 21:50:03;João Silva;OLT-ZTE-3;Hortolândia;Suporte Wi-Fi;Cliente Ausente;Manhã;0
Horizon Telecom;Troca de Tecnologia;Sumaré;20263729280;15/02/2026 01:22:03;Pendente;16/02/2026 00:22:03;Maria Oliveira;OLT-HUAWEI-7;Sumaré;Troca de Tecnologia;Falta de Tempo/Janela;Manhã;3
FiberTech;Suporte Wi-Fi;Valinhos;20269134225;18/02/2026 08:06:03;Pendente;18/02/2026 21:50:03;Maria Oliveira;OLT-HUAWEI-1;Valinhos;Suporte Wi-Fi;Falta de Tempo/Janela;Manhã;0
Conecta+;Instalação Nova;Sumaré;20267704860;16/02/2026 20:34:03;Pendente;17/02/2026 06:34:03;Ana Souza;OLT-ZTE-4;Sumaré;Instalação Nova;Cliente Ausente;Manhã;2
FiberTech;Reparo de Fibra;Hortolândia;20265006765;04/02/2026 19:19:03;Pendente;05/02/2026 12:19:03;Maria Oliveira;OLT-ZTE-7;Hortolândia;Reparo de Fibra;Dificuldade Técnica (Poste/Tubulação);Manhã;14
Conecta+;Suporte Wi-Fi;Paulínia;20269812948;13/02/2026 10:58:03;Pendente;14/02/2026 00:58:03;Kevyn Ferrezin;OLT-ZTE-7;Paulínia;Suporte Wi-Fi;Dificuldade Técnica (Poste/Tubulação);Tarde;5
Conecta+;Suporte Wi-Fi;Americana;20266113006;16/02/2026 02:50:03;Pendente;16/02/2026 21:50:03;Kevyn Ferrezin;OLT-NOKIA-9;Americana;Suporte Wi-Fi;Equipamento Defeituoso;Manhã;2
Conecta+;Instalação Nova;Campinas;20265891139;16/02/2026 04:06:03;Pendente;16/02/2026 15:06:03;Kevyn Ferrezin;OLT-ZTE-1;Campinas;Instalação Nova;Dificuldade Técnica (Poste/Tubulação);Tarde;2
FiberTech;Troca de Tecnologia;Americana;20261430842;17/02/2026 15:31:03;Pendente;18/02/2026 08:31:03;João Silva;OLT-HUAWEI-3;Americana;Troca de Tecnologia;Cliente Ausente;Manhã;1
Conecta+;Instalação Nova;Sumaré;20267903893;15/02/2026 13:16:03;Pendente;15/02/2026 17:16:03;João Silva;OLT-NOKIA-1;Sumaré;Instalação Nova;Chuva Forte/Segurança;Manhã;3
Conecta+;Troca de Tecnologia;Paulínia;20261316264;14/02/2026 03:31:03;Pendente;14/02/2026 22:31:03;João Silva;OLT-HUAWEI-4;Paulínia;Troca de Tecnologia;Falta de Tempo/Janela;Manhã;4
Horizon Telecom;Troca de Tecnologia;Hortolândia;20262312137;18/02/2026 06:21:03;Pendente;18/02/2026 12:21:03;João Silva;OLT-NOKIA-1;Hortolândia;Troca de Tecnologia;Cliente Ausente;Manhã;0
Horizon Telecom;Troca de Tecnologia;Hortolândia;20262204703;18/02/2026 11:40:03;Pendente;18/02/2026 21:50:03;João Silva;OLT-ZTE-5;Hortolândia;Troca de Tecnologia;Equipamento Defeituoso;Manhã;0
FiberTech;Troca de Tecnologia;Campinas;20266070954;17/02/2026 20:22:03;Pendente;17/02/2026 22:22:03;Ana Souza;OLT-ZTE-1;Campinas;Troca de Tecnologia;Cliente Ausente;Tarde;1
Horizon Telecom;Troca de Tecnologia;Campinas;20266264782;15/02/2026 00:03:03;Pendente;15/02/2026 15:03:03;João Silva;OLT-ZTE-10;Campinas;Troca de Tecnologia;Falta de Tempo/Janela;Tarde;3
Horizon Telecom;Mudança de Endereço;Valinhos;20265427100;14/02/2026 23:13:03;Pendente;15/02/2026 05:13:03;João Silva;OLT-HUAWEI-2;Valinhos;Mudança de Endereço;Equipamento Defeituoso;Manhã;3
FiberTech;Troca de Tecnologia;Valinhos;20268225364;18/02/2026 05:48:03;Pendente;18/02/2026 17:48:03;Maria Oliveira;OLT-ZTE-4;Valinhos;Troca de Tecnologia;Equipamento Defeituoso;Manhã;0
Horizon Telecom;Suporte Wi-Fi;Valinhos;20269187217;17/02/2026 01:03:03;Pendente;17/02/2026 14:03:03;João Silva;OLT-HUAWEI-10;Valinhos;Suporte Wi-Fi;Chuva Forte/Segurança;Tarde;1
Horizon Telecom;Instalação Nova;Campinas;20267080516;18/02/2026 00:40:03;Pendente;18/02/2026 21:50:03;Maria Oliveira;OLT-HUAWEI-2;Campinas;Instalação Nova;Equipamento Defeituoso;Tarde;0
Conecta+;Suporte Wi-Fi;Valinhos;20266139924;16/02/2026 00:43:03;Pendente;16/02/2026 17:43:03;Kevyn Ferrezin;OLT-ZTE-6;Valinhos;Suporte Wi-Fi;Chuva Forte/Segurança;Manhã;2
Conecta+;Instalação Nova;Valinhos;20261654492;18/02/2026 16:59:03;Pendente;18/02/2026 18:59:03;João Silva;OLT-ZTE-8;Valinhos;Instalação Nova;Falta de Tempo/Janela;Manhã;0
FiberTech;Reparo de Fibra;Campinas;20267977996;05/02/2026 11:06:03;Pendente;06/02/2026 05:06:03;Carlos Santos;OLT-HUAWEI-5;Campinas;Reparo de Fibra;Equipamento Defeituoso;Tarde;13
Conecta+;Reparo de Fibra;Paulínia;20265077052;17/02/2026 23:48:03;Pendente;18/02/2026 05:48:03;João Silva;OLT-HUAWEI-7;Paulínia;Reparo de Fibra;Dificuldade Técnica (Poste/Tubulação);Manhã;0
FiberTech;Mudança de Endereço;Campinas;20269660524;16/02/2026 20:52:03;Pendente;17/02/2026 01:52:03;Carlos Santos;OLT-ZTE-7;Campinas;Mudança de Endereço;Falta de Tempo/Janela;Manhã;2
Horizon Telecom;Instalação Nova;Valinhos;20268883612;18/02/2026 18:19:03;Pendente;18/02/2026 21:50:03;Kevyn Ferrezin;OLT-HUAWEI-1;Valinhos;Instalação Nova;Falta de Tempo/Janela;Manhã;0
Horizon Telecom;Reparo de Fibra;Valinhos;20267025138;16/02/2026 17:23:03;Pendente;17/02/2026 10:23:03;Carlos Santos;OLT-HUAWEI-1;Valinhos;Reparo de Fibra;Equipamento Defeituoso;Manhã;2
FiberTech;Instalação Nova;Sumaré;20266948043;04/02/2026 00:18:03;Pendente;04/02/2026 06:18:03;Carlos Santos;OLT-HUAWEI-3;Sumaré;Instalação Nova;Falta de Tempo/Janela;Manhã;14
FiberTech;Instalação Nova;Campinas;20267809459;15/02/2026 23:09:03;Pendente;16/02/2026 06:09:03;Kevyn Ferrezin;OLT-NOKIA-8;Campinas;Instalação Nova;Falta de Tempo/Janela;Tarde;2
Conecta+;Troca de Tecnologia;Paulínia;20265393438;14/02/2026 09:09:03;Pendente;14/02/2026 12:09:03;Kevyn Ferrezin;OLT-NOKIA-1;Paulínia;Troca de Tecnologia;Falta de Tempo/Janela;Manhã;4
Horizon Telecom;Reparo de Fibra;Hortolândia;20268254715;18/02/2026 20:52:03;Pendente;18/02/2026 21:50:03;Ana Souza;OLT-HUAWEI-1;Hortolândia;Reparo de Fibra;Dificuldade Técnica (Poste/Tubulação);Manhã;0
Conecta+;Suporte Wi-Fi;Paulínia;20264974959;13/02/2026 07:26:03;Pendente;13/02/2026 16:26:03;Kevyn Ferrezin;OLT-HUAWEI-5;Paulínia;Suporte Wi-Fi;Cliente Ausente;Manhã;5
Horizon Telecom;Mudança de Endereço;Campinas;20268162218;17/02/2026 20:51:03;Pendente;18/02/2026 11:51:03;João Silva;OLT-HUAWEI-7;Campinas;Mudança de Endereço;Dificuldade Técnica (Poste/Tubulação);Tarde;1
Conecta+;Suporte Wi-Fi;Sumaré;20268146064;16/02/2026 02:51:03;Pendente;16/02/2026 23:51:03;Ana Souza;OLT-NOKIA-9;Sumaré;Suporte Wi-Fi;Dificuldade Técnica (Poste/Tubulação);Tarde;2
Horizon Telecom;Suporte Wi-Fi;Sumaré;20262894833;16/02/2026 06:15:03;Pendente;16/02/2026 22:15:03;Ana Souza;OLT-ZTE-3;Sumaré;Suporte Wi-Fi;Falta de Tempo/Janela;Manhã;2
Horizon Telecom;Troca de Tecnologia;Campinas;20263953624;16/02/2026 05:44:03;Pendente;16/02/2026 15:44:03;Maria Oliveira;OLT-HUAWEI-8;Campinas;Troca de Tecnologia;Chuva Forte/Segurança;Manhã;2
Conecta+;Suporte Wi-Fi;Paulínia;20261188301;16/02/2026 13:24:03;Pendente;16/02/2026 20:24:03;João Silva;OLT-NOKIA-9;Paulínia;Suporte Wi-Fi;Dificuldade Técnica (Poste/Tubulação);Manhã;2
FiberTech;Troca de Tecnologia;Paulínia;20265500950;16/02/2026 14:39:03;Pendente;17/02/2026 06:39:03;Kevyn Ferrezin;OLT-HUAWEI-6;Paulínia;Troca de Tecnologia;Dificuldade Técnica (Poste/Tubulação);Tarde;2
FiberTech;Troca de Tecnologia;Hortolândia;20266031086;06/02/2026 11:25:03;Pendente;07/02/2026 09:25:03;Carlos Santos;OLT-ZTE-7;Hortolândia;Troca de Tecnologia;Equipamento Defeituoso;Manhã;12
Horizon Telecom;Mudança de Endereço;Americana;20267505858;18/02/2026 20:36:03;Pendente;18/02/2026 21:50:03;Kevyn Ferrezin;OLT-NOKIA-8;Americana;Mudança de Endereço;Equipamento Defeituoso;Tarde;0
Conecta+;Suporte Wi-Fi;Paulínia;20269345976;16/02/2026 04:02:03;Pendente;16/02/2026 11:02:03;Carlos Santos;OLT-HUAWEI-10;Paulínia;Suporte Wi-Fi;Falta de Tempo/Janela;Tarde;2
Horizon Telecom;Instalação Nova;Hortolândia;20265466614;18/02/2026 10:08:03;Pendente;18/02/2026 12:08:03;Ana Souza;OLT-ZTE-5;Hortolândia;Instalação Nova;Cliente Ausente;Tarde;0
FiberTech;Instalação Nova;Paulínia;20268915603;17/02/2026 02:39:03;Pendente;17/02/2026 21:39:03;Maria Oliveira;OLT-NOKIA-5;Paulínia;Instalação Nova;Cliente Ausente;Manhã;1
Conecta+;Mudança de Endereço;Hortolândia;20269225306;09/02/2026 22:42:03;Pendente;10/02/2026 15:42:03;Maria Oliveira;OLT-HUAWEI-5;Hortolândia;Mudança de Endereço;Dificuldade Técnica (Poste/Tubulação);Tarde;8
FiberTech;Instalação Nova;Campinas;20264702108;17/02/2026 17:09:03;Pendente;18/02/2026 17:09:03;João Silva;OLT-NOKIA-10;Campinas;Instalação Nova;Cliente Ausente;Manhã;1
Horizon Telecom;Suporte Wi-Fi;Campinas;20262575684;18/02/2026 11:19:03;Pendente;18/02/2026 18:19:03;João Silva;OLT-HUAWEI-6;Campinas;Suporte Wi-Fi;Chuva Forte/Segurança;Tarde;0
Horizon Telecom;Mudança de Endereço;Sumaré;20261657274;18/02/2026 00:17:03;Pendente;18/02/2026 05:17:03;Carlos Santos;OLT-ZTE-7;Sumaré;Mudança de Endereço;Chuva Forte/Segurança;Tarde;0
FiberTech;Suporte Wi-Fi;Paulínia;20262494364;17/02/2026 12:14:03;Pendente;17/02/2026 20:14:03;Maria Oliveira;OLT-ZTE-9;Paulínia;Suporte Wi-Fi;Dificuldade Técnica (Poste/Tubulação);Tarde;1
Conecta+;Reparo de Fibra;Sumaré;20266897260;17/02/2026 06:40:03;Pendente;17/02/2026 14:40:03;Ana Souza;OLT-HUAWEI-10;Sumaré;Reparo de Fibra;Dificuldade Técnica (Poste/Tubulação);Tarde;1
Horizon Telecom;Mudança de Endereço;Paulínia;20262730601;12/02/2026 04:09:03;Pendente;13/02/2026 00:09:03;Maria Oliveira;OLT-NOKIA-2;Paulínia;Mudança de Endereço;Chuva Forte/Segurança;Tarde;6
FiberTech;Troca de Tecnologia;Valinhos;20265619795;15/02/2026 10:08:03;Pendente;15/02/2026 17:08:03;Ana Souza;OLT-HUAWEI-6;Valinhos;Troca de Tecnologia;Chuva Forte/Segurança;Tarde;3
Horizon Telecom;Reparo de Fibra;Americana;20266688373;18/02/2026 13:11:03;Pendente;18/02/2026 21:50:03;Maria Oliveira;OLT-ZTE-6;Americana;Reparo de Fibra;Equipamento Defeituoso;Manhã;0
FiberTech;Instalação Nova;Paulínia;20268267918;18/02/2026 18:41:03;Pendente;18/02/2026 21:50:03;Ana Souza;OLT-HUAWEI-6;Paulínia;Instalação Nova;Cliente Ausente;Tarde;0
FiberTech;Instalação Nova;Hortolândia;20266163368;17/02/2026 21:32:03;Pendente;18/02/2026 12:32:03;Maria Oliveira;OLT-HUAWEI-4;Hortolândia;Instalação Nova;Dificuldade Técnica (Poste/Tubulação);Manhã;1
Horizon Telecom;Instalação Nova;Paulínia;20264409681;15/02/2026 21:03:03;Pendente;16/02/2026 02:03:03;Kevyn Ferrezin;OLT-HUAWEI-6;Paulínia;Instalação Nova;Equipamento Defeituoso;Tarde;3
Horizon Telecom;Mudança de Endereço;Americana;20263704621;18/02/2026 02:51:03;Pendente;18/02/2026 13:51:03;Ana Souza;OLT-ZTE-1;Americana;Mudança de Endereço;Dificuldade Técnica (Poste/Tubulação);Tarde;0
Conecta+;Suporte Wi-Fi;Hortolândia;20262683698;18/02/2026 16:42:03;Pendente;18/02/2026 18:42:03;Kevyn Ferrezin;OLT-NOKIA-6;Hortolândia;Suporte Wi-Fi;Chuva Forte/Segurança;Manhã;0
FiberTech;Reparo de Fibra;Valinhos;20266587142;17/02/2026 08:38:03;Pendente;17/02/2026 18:38:03;Kevyn Ferrezin;OLT-ZTE-6;Valinhos;Reparo de Fibra;Chuva Forte/Segurança;Manhã;1
FiberTech;Reparo de Fibra;Valinhos;20261944426;17/02/2026 07:00:03;Pendente;18/02/2026 00:00:03;Ana Souza;OLT-NOKIA-6;Valinhos;Reparo de Fibra;Equipamento Defeituoso;Manhã;1
FiberTech;Troca de Tecnologia;Hortolândia;20268129968;17/02/2026 15:32:03;Pendente;17/02/2026 17:32:03;Kevyn Ferrezin;OLT-ZTE-3;Hortolândia;Troca de Tecnologia;Cliente Ausente;Manhã;1
Conecta+;Suporte Wi-Fi;Campinas;20263406031;18/02/2026 20:47:03;Pendente;18/02/2026 21:50:03;Kevyn Ferrezin;OLT-HUAWEI-8;Campinas;Suporte Wi-Fi;Cliente Ausente;Tarde;0
Horizon Telecom;Troca de Tecnologia;Hortolândia;20263199838;09/02/2026 07:24:03;Pendente;09/02/2026 11:24:03;Carlos Santos;OLT-ZTE-7;Hortolândia;Troca de Tecnologia;Cliente Ausente;Manhã;9
Horizon Telecom;Instalação Nova;Sumaré;20266904447;16/02/2026 11:09:03;Pendente;16/02/2026 14:09:03;Kevyn Ferrezin;OLT-HUAWEI-1;Sumaré;Instalação Nova;Falta de Tempo/Janela;Manhã;2
Horizon Telecom;Mudança de Endereço;Paulínia;20263579158;15/02/2026 10:29:03;Pendente;16/02/2026 05:29:03;Ana Souza;OLT-ZTE-9;Paulínia;Mudança de Endereço;Chuva Forte/Segurança;Tarde;3
FiberTech;Troca de Tecnologia;Americana;20267321014;16/02/2026 13:14:03;Pendente;17/02/2026 12:14:03;Kevyn Ferrezin;OLT-ZTE-10;Americana;Troca de Tecnologia;Dificuldade Técnica (Poste/Tubulação);Manhã;2
FiberTech;Reparo de Fibra;Valinhos;20263225810;18/02/2026 10:52:03;Pendente;18/02/2026 18:52:03;Carlos Santos;OLT-HUAWEI-10;Valinhos;Reparo de Fibra;Dificuldade Técnica (Poste/Tubulação);Manhã;0
FiberTech;Instalação Nova;Hortolândia;20264009168;07/02/2026 00:57:03;Pendente;07/02/2026 15:57:03;Ana Souza;OLT-NOKIA-1;Hortolândia;Instalação Nova;Equipamento Defeituoso;Manhã;11
Conecta+;Troca de Tecnologia;Valinhos;20263522484;16/02/2026 06:56:03;Pendente;16/02/2026 18:56:03;João Silva;OLT-HUAWEI-1;Valinhos;Troca de Tecnologia;Equipamento Defeituoso;Manhã;2
Conecta+;Reparo de Fibra;Hortolândia;20267763559;14/02/2026 19:58:03;Pendente;15/02/2026 13:58:03;Maria Oliveira;OLT-ZTE-7;Hortolândia;Reparo de Fibra;Cliente Ausente;Tarde;4
Conecta+;Troca de Tecnologia;Hortolândia;20266185197;17/02/2026 12:14:03;Pendente;17/02/2026 18:14:03;Carlos Santos;OLT-NOKIA-3;Hortolândia;Troca de Tecnologia;Cliente Ausente;Tarde;1
Horizon Telecom;Mudança de Endereço;Paulínia;20262444020;18/02/2026 10:09:03;Pendente;18/02/2026 16:09:03;João Silva;OLT-HUAWEI-5;Paulínia;Mudança de Endereço;Dificuldade Técnica (Poste/Tubulação);Tarde;0
FiberTech;Suporte Wi-Fi;Sumaré;20262364725;16/02/2026 23:18:03;Pendente;17/02/2026 18:18:03;Maria Oliveira;OLT-ZTE-2;Sumaré;Suporte Wi-Fi;Dificuldade Técnica (Poste/Tubulação);Manhã;1
Conecta+;Reparo de Fibra;Sumaré;20266050378;17/02/2026 06:21:03;Pendente;17/02/2026 18:21:03;Maria Oliveira;OLT-ZTE-3;Sumaré;Reparo de Fibra;Dificuldade Técnica (Poste/Tubulação);Manhã;1
Conecta+;Suporte Wi-Fi;Paulínia;20266892134;17/02/2026 00:53:03;Pendente;17/02/2026 09:53:03;Carlos Santos;OLT-ZTE-8;Paulínia;Suporte Wi-Fi;Equipamento Defeituoso;Manhã;1
Conecta+;Suporte Wi-Fi;Valinhos;20261673307;16/02/2026 13:07:03;Pendente;16/02/2026 22:07:03;Maria Oliveira;OLT-HUAWEI-9;Valinhos;Suporte Wi-Fi;Cliente Ausente;Tarde;2
FiberTech;Suporte Wi-Fi;Paulínia;20264164663;17/02/2026 10:44:03;Pendente;17/02/2026 21:44:03;Kevyn Ferrezin;OLT-NOKIA-6;Paulínia;Suporte Wi-Fi;Equipamento Defeituoso;Manhã;1
FiberTech;Reparo de Fibra;Paulínia;20261230061;16/02/2026 11:36:03;Pendente;17/02/2026 00:36:03;Maria Oliveira;OLT-ZTE-1;Paulínia;Reparo de Fibra;Falta de Tempo/Janela;Tarde;2
FiberTech;Reparo de Fibra;Sumaré;20265806322;13/02/2026 19:18:03;Pendente;14/02/2026 16:18:03;Kevyn Ferrezin;OLT-NOKIA-4;Sumaré;Reparo de Fibra;Chuva Forte/Segurança;Manhã;5
Conecta+;Mudança de Endereço;Campinas;20268532264;17/02/2026 14:38:03;Pendente;18/02/2026 02:38:03;Kevyn Ferrezin;OLT-ZTE-2;Campinas;Mudança de Endereço;Cliente Ausente;Manhã;1
Conecta+;Troca de Tecnologia;Sumaré;20264395254;17/02/2026 13:25:03;Pendente;17/02/2026 19:25:03;Ana Souza;OLT-HUAWEI-9;Sumaré;Troca de Tecnologia;Dificuldade Técnica (Poste/Tubulação);Manhã;1
FiberTech;Troca de Tecnologia;Valinhos;20262186021;17/02/2026 05:39:03;Pendente;17/02/2026 15:39:03;Maria Oliveira;OLT-NOKIA-4;Valinhos;Troca de Tecnologia;Cliente Ausente;Manhã;1
FiberTech;Mudança de Endereço;Valinhos;20267690278;15/02/2026 22:31:03;Pendente;16/02/2026 00:31:03;Kevyn Ferrezin;OLT-HUAWEI-6;Valinhos;Mudança de Endereço;Equipamento Defeituoso;Manhã;2
FiberTech;Troca de Tecnologia;Americana;20268178435;16/02/2026 08:34:03;Pendente;16/02/2026 21:34:03;Ana Souza;OLT-ZTE-4;Americana;Troca de Tecnologia;Equipamento Defeituoso;Tarde;2
FiberTech;Reparo de Fibra;Campinas;20263579086;15/02/2026 22:58:03;Pendente;16/02/2026 11:58:03;Carlos Santos;OLT-HUAWEI-9;Campinas;Reparo de Fibra;Falta de Tempo/Janela;Manhã;2
Conecta+;Reparo de Fibra;Hortolândia;20264409429;17/02/2026 22:32:03;Pendente;18/02/2026 16:32:03;Carlos Santos;OLT-NOKIA-8;Hortolândia;Reparo de Fibra;Cliente Ausente;Tarde;0
FiberTech;Mudança de Endereço;Paulínia;20263057447;14/02/2026 21:14:03;Pendente;15/02/2026 06:14:03;João Silva;OLT-HUAWEI-2;Paulínia;Mudança de Endereço;Dificuldade Técnica (Poste/Tubulação);Tarde;4
Horizon Telecom;Suporte Wi-Fi;Valinhos;20264576180;15/02/2026 21:51:03;Pendente;16/02/2026 09:51:03;Carlos Santos;OLT-NOKIA-9;Valinhos;Suporte Wi-Fi;Equipamento Defeituoso;Manhã;2
FiberTech;Mudança de Endereço;Paulínia;20262440126;13/02/2026 11:09:03;Pendente;13/02/2026 23:09:03;João Silva;OLT-ZTE-8;Paulínia;Mudança de Endereço;Falta de Tempo/Janela;Manhã;5
FiberTech;Instalação Nova;Hortolândia;20263651670;17/02/2026 06:36:03;Pendente;18/02/2026 01:36:03;Maria Oliveira;OLT-ZTE-7;Hortolândia;Instalação Nova;Dificuldade Técnica (Poste/Tubulação);Tarde;1
FiberTech;Mudança de Endereço;Valinhos;20262591495;18/02/2026 01:06:03;Pendente;18/02/2026 07:06:03;João Silva;OLT-HUAWEI-10;Valinhos;Mudança de Endereço;Cliente Ausente;Manhã;0
Horizon Telecom;Instalação Nova;Hortolândia;20269357218;16/02/2026 14:43:03;Pendente;17/02/2026 10:43:03;Ana Souza;OLT-ZTE-9;Hortolândia;Instalação Nova;Falta de Tempo/Janela;Manhã;2
Conecta+;Troca de Tecnologia;Americana;20267463643;18/02/2026 02:36:03;Pendente;18/02/2026 21:50:03;Maria Oliveira;OLT-HUAWEI-3;Americana;Troca de Tecnologia;Dificuldade Técnica (Poste/Tubulação);Manhã;0
Horizon Telecom;Suporte Wi-Fi;Sumaré;20264000340;18/02/2026 15:23:03;Pendente;18/02/2026 21:50:03;João Silva;OLT-NOKIA-6;Sumaré;Suporte Wi-Fi;Cliente Ausente;Manhã;0
FiberTech;Instalação Nova;Valinhos;20261787944;18/02/2026 09:16:03;Pendente;18/02/2026 21:50:03;Kevyn Ferrezin;OLT-ZTE-5;Valinhos;Instalação Nova;Falta de Tempo/Janela;Manhã;0
FiberTech;Suporte Wi-Fi;Campinas;20267849738;17/02/2026 02:55:03;Pendente;17/02/2026 15:55:03;João Silva;OLT-ZTE-1;Campinas;Suporte Wi-Fi;Equipamento Defeituoso;Manhã;1
FiberTech;Mudança de Endereço;Paulínia;20263888855;16/02/2026 10:01:03;Pendente;17/02/2026 01:01:03;Kevyn Ferrezin;OLT-ZTE-3;Paulínia;Mudança de Endereço;Dificuldade Técnica (Poste/Tubulação);Manhã;2
FiberTech;Suporte Wi-Fi;Valinhos;20263393630;15/02/2026 14:06:03;Pendente;16/02/2026 07:06:03;Kevyn Ferrezin;OLT-NOKIA-10;Valinhos;Suporte Wi-Fi;Equipamento Defeituoso;Tarde;3
